Czas [g:m:s.ss];Cisnienie1 [Pa];Wysokosc1 [m];Akcel1 X [g];Akcel1 Y [g];Akcel1 Z [g];Akcel2 X [g];Akcel2 Y [g];Akcel2 Z [g];Zyro1 X [°/s];Zyro1 Y [°/s];Zyro1 Z [°/s];Zyro2 X [°/s];Zyro2 Y [°/s];Zyro2 Z [°/s];Magn1 X [gaus];Magn1 Y [gaus];Magn1 Z [gaus];Magn2 X [gaus];Magn2 Y [gaus];Magn2 Z [gaus];Magn3 X [gaus];Magn3 Y [gaus];Magn3 Z [gaus];SzerokoscGeo [°];DlugoscGeo [°];WysokoscMSL [m];PredkWzglZiemi; [mKurs [°];Liczba Sat/Fix [-/-];
23:13:47.31;100681.8;56.58;-0.005;0.356;0.931;-0.006;0.374;0.936;-2.441;-1.526;-0.305;-6.409;3.662;4.883;0;0;0;48;19;-220;0;0;0;52.236542;20.935003;121.3;0.11;0.18;6/1;
23:13:47.11;100686.0;56.21;-0.004;0.356;0.930;-0.006;0.374;0.935;-2.747;-1.831;-0.610;-6.714;3.967;3.967;0;0;0;51;15;-213;0;0;0;52.236540;20.935002;121.3;0.10;0.18;6/1;
23:13:48.92;100685.1;56.29;-0.005;0.356;0.932;-0.006;0.374;0.935;-2.441;-1.526;-1.221;-6.104;4.272;4.578;0;0;0;53;13;-219;0;0;0;52.236538;20.935002;121.3;0.09;0.18;6/1;
23:13:48.72;100685.6;56.24;-0.004;0.357;0.932;-0.007;0.374;0.936;-2.441;-1.221;-0.305;-6.104;3.967;4.883;0;0;0;50;17;-214;0;0;0;52.236535;20.935000;121.3;0.08;0.18;6/1;
23:13:48.52;100685.1;56.29;-0.005;0.357;0.930;-0.007;0.374;0.936;-2.136;-1.831;-0.305;-6.409;4.272;4.578;0;0;0;51;14;-213;0;0;0;52.236533;20.935000;121.3;0.07;0.18;6/1;
23:13:48.33;100682.9;56.48;-0.004;0.355;0.930;-0.007;0.373;0.935;-2.747;-1.831;-0.916;-7.019;4.272;4.578;0;0;0;49;16;-214;0;0;0;52.236533;20.934998;121.4;0.06;0.18;6/1;
23:13:48.13;100688.0;56.03;-0.004;0.356;0.930;-0.006;0.374;0.936;-2.136;-1.831;-0.610;-6.409;3.967;4.578;0;0;0;50;17;-216;0;0;0;52.236533;20.934995;121.4;0.05;0.18;6/1;
23:13:49.94;100688.4;56.00;-0.004;0.356;0.929;-0.006;0.373;0.934;-2.136;-1.831;-0.610;-6.409;4.272;4.883;0;0;0;55;13;-215;0;0;0;52.236533;20.934992;121.4;0.05;0.18;6/1;
23:13:49.74;100680.6;56.68;-0.004;0.357;0.933;-0.007;0.374;0.936;-2.441;-2.136;-0.305;-7.019;3.662;4.272;0;0;0;50;16;-215;0;0;0;52.236532;20.934988;121.4;0.04;0.18;6/1;
23:13:49.54;100683.1;56.46;-0.005;0.356;0.932;-0.007;0.374;0.935;-2.747;-1.526;-0.305;-6.104;3.662;4.272;0;0;0;50;16;-218;0;0;0;52.236533;20.934987;121.4;0.05;0.18;6/1;
23:13:49.35;100686.6;56.16;-0.006;0.356;0.932;-0.006;0.374;0.936;-2.747;-1.526;-0.610;-6.714;4.578;4.883;0;0;0;47;15;-212;0;0;0;52.236533;20.934985;121.4;0.06;0.18;6/1;
23:13:49.15;100689.6;55.89;-0.005;0.356;0.930;-0.006;0.373;0.935;-2.747;-1.831;0.000;-6.714;3.967;4.272;0;0;0;51;15;-217;0;0;0;52.236533;20.934983;121.3;0.06;0.18;6/1;
23:13:50.96;100686.4;56.17;-0.004;0.356;0.930;-0.007;0.373;0.935;-2.136;-1.526;-0.916;-6.409;4.272;4.272;0;0;0;50;15;-215;0;0;0;52.236532;20.934983;121.3;0.06;0.18;6/1;
23:13:50.76;100682.5;56.52;-0.004;0.356;0.930;-0.006;0.374;0.935;-1.526;-2.136;-0.916;-5.493;3.662;4.883;0;0;0;49;16;-215;0;0;0;52.236532;20.934983;121.3;0.06;0.18;6/1;
23:13:50.56;100679.7;56.76;-0.005;0.356;0.929;-0.006;0.373;0.935;-2.441;-1.831;-1.221;-6.714;4.272;4.272;0;0;0;48;18;-214;0;0;0;52.236532;20.934983;121.3;0.05;0.18;6/1;
23:13:50.37;100687.8;56.06;-0.006;0.356;0.930;-0.006;0.374;0.935;-2.136;-1.526;-0.610;-6.409;3.967;4.883;0;0;0;45;12;-216;0;0;0;52.236532;20.934983;121.3;0.05;0.18;6/1;
23:13:50.17;100689.4;55.92;-0.005;0.356;0.931;-0.006;0.374;0.935;-2.747;-1.526;-0.916;-6.714;4.272;4.883;0;0;0;47;18;-214;0;0;0;52.236532;20.934982;121.3;0.05;0.18;6/1;
23:13:51.98;100691.0;55.77;-0.004;0.357;0.931;-0.006;0.374;0.936;-2.136;-1.221;-0.610;-6.409;4.883;4.578;0;0;0;48;17;-219;0;0;0;52.236532;20.934980;121.2;0.05;0.18;6/1;
23:13:51.78;100687.4;56.09;-0.005;0.356;0.930;-0.006;0.374;0.935;-2.441;-1.221;-0.610;-6.714;4.272;4.272;0;0;0;50;17;-216;0;0;0;52.236533;20.934977;121.2;0.04;0.18;6/1;
23:13:51.58;100687.4;56.09;-0.004;0.355;0.929;-0.006;0.373;0.934;-3.052;-1.831;-0.610;-6.714;3.662;4.578;0;0;0;52;12;-216;0;0;0;52.236533;20.934975;121.2;0.05;0.18;6/1;
23:13:51.39;100687.2;56.11;-0.005;0.357;0.930;-0.006;0.373;0.935;-2.441;-1.526;-0.610;-6.714;3.967;4.883;0;0;0;51;18;-216;0;0;0;52.236533;20.934972;121.2;0.05;0.18;6/1;
23:13:51.19;100688.9;55.96;-0.005;0.355;0.932;-0.006;0.374;0.936;-2.441;-1.526;-0.916;-5.798;3.967;4.578;0;0;0;52;13;-216;0;0;0;52.236535;20.934970;121.2;0.05;0.18;6/1;
23:13:51.00;100689.8;55.88;-0.004;0.356;0.931;-0.007;0.374;0.936;-2.747;-1.221;-0.610;-6.409;3.357;5.188;0;0;0;50;16;-217;0;0;0;52.236535;20.934972;121.2;0.06;0.18;6/1;
23:13:52.80;100684.7;56.33;-0.005;0.355;0.930;-0.006;0.374;0.935;-2.441;-1.526;-0.916;-6.409;4.578;4.883;0;0;0;55;16;-215;0;0;0;52.236537;20.934972;121.2;0.06;0.18;6/1;
23:13:52.60;100683.9;56.40;-0.006;0.356;0.930;-0.006;0.373;0.935;-2.441;-2.136;-0.610;-6.409;4.272;4.578;0;0;0;52;14;-216;0;0;0;52.236537;20.934972;121.2;0.05;0.18;6/1;
23:13:52.41;100689.8;55.88;-0.004;0.356;0.931;-0.007;0.374;0.936;-2.747;-2.136;-0.610;-6.714;4.883;4.883;0;0;0;49;16;-214;0;0;0;52.236537;20.934970;121.3;0.05;0.18;6/1;
23:13:52.21;100689.8;55.88;-0.004;0.355;0.931;-0.006;0.374;0.935;-2.441;-1.526;-0.610;-7.019;3.967;4.578;0;0;0;49;14;-215;0;0;0;52.236537;20.934970;121.3;0.04;0.18;6/1;
