Czas [g:m:s.ss];Cisnienie1 [Pa];Wysokosc1 [m];Akcel1 X [g];Akcel1 Y [g];Akcel1 Z [g];Akcel2 X [g];Akcel2 Y [g];Akcel2 Z [g];Zyro1 X [°/s];Zyro1 Y [°/s];Zyro1 Z [°/s];Zyro2 X [°/s];Zyro2 Y [°/s];Zyro2 Z [°/s];Magn1 X [uT];Magn1 Y [uT];Magn1 Z [uT];Magn2 X [uT];Magn2 Y [uT];Magn2 Z [uT];Magn3 X [uT];Magn3 Y [uT];Magn3 Z [uT];SzerokoscGeo [°];DlugoscGeo [°];WysokoscMSL [m];Predk WzgZie [m/s];Kurs [°];Licz.Sat/Fix [-/-];
23:43:11.09;100720.0;53.26;-0.006;0.347;0.933;-0.008;0.366;0.938;-2.441;-1.526;-0.610;-7.019;4.578;4.578;0;0;0;48;16;-216;0;0;0;52.236283;20.934953;124.6;0.70;151.75;4/1;
23:43:12.89;100719.1;53.34;-0.007;0.348;0.934;-0.009;0.365;0.938;-2.441;-1.526;-0.610;-6.714;3.357;4.883;0;0;0;48;17;-219;0;0;0;52.236285;20.934952;124.6;0.67;153.21;4/1;
23:43:12.70;100713.6;53.82;-0.008;0.348;0.933;-0.008;0.365;0.938;-2.441;-1.831;-0.610;-6.104;3.967;4.272;0;0;0;53;16;-220;0;0;0;52.236285;20.934948;124.6;0.65;154.90;4/1;
23:43:12.50;100716.1;53.60;-0.006;0.346;0.934;-0.009;0.365;0.938;-2.136;-1.831;-0.916;-5.493;4.272;4.883;0;0;0;44;13;-216;0;0;0;52.236285;20.934945;124.7;0.64;157.34;4/1;
23:43:12.30;100713.5;53.83;-0.007;0.348;0.933;-0.008;0.366;0.939;-2.441;-1.831;-0.305;-6.714;4.578;4.578;0;0;0;49;20;-218;0;0;0;52.236287;20.934942;124.7;0.61;159.89;4/1;
23:43:12.10;100718.9;53.36;-0.008;0.348;0.933;-0.008;0.365;0.938;-2.136;-1.526;-0.610;-6.409;3.967;4.272;0;0;0;47;16;-222;0;0;0;52.236287;20.934937;124.7;0.59;162.73;4/1;
23:43:13.91;100711.7;53.99;-0.008;0.347;0.934;-0.009;0.365;0.938;-2.441;-1.526;-0.610;-7.629;4.578;4.578;0;0;0;50;15;-215;0;0;0;52.236288;20.934933;124.7;0.58;165.32;4/1;
23:43:13.72;100717.6;53.47;-0.008;0.346;0.934;-0.009;0.365;0.938;-2.136;-1.526;-0.610;-7.324;4.578;4.578;0;0;0;48;17;-215;0;0;0;52.236288;20.934928;124.7;0.57;167.76;4/1;
23:43:13.52;100713.5;53.82;-0.007;0.347;0.933;-0.009;0.365;0.938;-2.136;-1.831;-0.610;-6.714;3.967;4.272;0;0;0;54;17;-215;0;0;0;52.236288;20.934923;124.7;0.55;170.58;4/1;
23:43:13.32;100719.2;53.33;-0.007;0.349;0.933;-0.009;0.365;0.938;-2.136;-2.136;-1.221;-6.409;3.967;4.578;0;0;0;52;19;-215;0;0;0;52.236288;20.934920;124.7;0.54;173.52;4/1;
23:43:13.12;100718.8;53.36;-0.007;0.347;0.934;-0.009;0.365;0.938;-2.441;-1.831;-0.305;-7.019;4.578;4.578;0;0;0;48;19;-215;0;0;0;52.236288;20.934915;124.7;0.53;176.43;4/1;
23:43:14.93;100713.9;53.79;-0.007;0.349;0.934;-0.008;0.365;0.938;-2.441;-2.136;-0.916;-6.104;3.662;4.578;0;0;0;49;18;-216;0;0;0;52.236288;20.934918;124.7;0.52;177.08;4/1;
23:43:14.74;100712.3;53.93;-0.007;0.347;0.933;-0.008;0.365;0.938;-2.136;-1.526;-0.916;-6.714;4.272;4.883;0;0;0;47;17;-219;0;0;0;52.236290;20.934908;124.7;0.52;182.54;4/1;
